# Generated: 2026-07-20T17:40:55.309515
# Sample: sample3
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18476
	sample	region_annotation	leiden_0_6	leiden_0_8
1393	sample3	Region 2	6	8
1396	sample3	Region 2	6	8
1397	sample3	Region 2	6	8
1398	sample3	Region 2	6	8
1401	sample3	Region 2	6	8
1410	sample3	Region 2	6	8
1414	sample3	Region 2	6	8
1415	sample3	Region 2	6	8
1416	sample3	Region 2	6	8
1418	sample3	Region 2	6	8
1422	sample3	Region 2	6	8
1426	sample3	Region 2	6	8
1437	sample3	Region 2	6	8
1438	sample3	Region 2	6	8
1439	sample3	Region 2	6	8
1441	sample3	Region 2	6	8
1442	sample3	Region 2	6	8
1443	sample3	Region 2	6	8
1444	sample3	Region 2	6	8
1448	sample3	Region 2	6	8
1452	sample3	Region 2	6	8
1456	sample3	Region 2	6	8
1458	sample3	Region 2	6	8
1459	sample3	Region 2	6	8
1463	sample3	Region 2	6	8
1464	sample3	Region 2	6	8
1470	sample3	Region 2	6	8
1473	sample3	Region 2	6	8
1474	sample3	Region 2	6	8
1476	sample3	Region 2	6	8
1480	sample3	Region 2	6	8
1486	sample3	Region 2	6	8
1487	sample3	Region 2	6	8
1489	sample3	Region 2	6	8
1502	sample3	Region 2	6	8
1507	sample3	Region 2	6	8
1510	sample3	Region 2	6	8
1511	sample3	Region 2	6	8
1512	sample3	Region 2	6	8
1515	sample3	Region 2	6	8
1526	sample3	Region 2	6	8
1528	sample3	Region 2	6	8
1534	sample3	Region 2	6	8
1537	sample3	Region 2	6	8
1539	sample3	Region 2	6	8
1540	sample3	Region 2	6	8
1541	sample3	Region 2	6	8
1547	sample3	Region 2	6	8
1548	sample3	Region 2	6	8
1550	sample3	Region 2	6	8
1557	sample3	Region 2	6	8
1559	sample3	Region 2	6	8
1567	sample3	Region 2	6	8
1569	sample3	Region 2	6	8
1570	sample3	Region 2	6	8
1574	sample3	Region 2	6	8
1583	sample3	Region 2	4	5
1591	sample3	Region 2	6	8
1594	sample3	Region 2	6	8
1601	sample3	Region 2	6	8
1604	sample3	Region 2	6	8
1609	sample3	Region 2	6	8
1615	sample3	Region 2	6	8
1630	sample3	Region 2	6	8
1635	sample3	Region 2	6	8
1640	sample3	Region 2	6	8
1643	sample3	Region 2	6	8
1647	sample3	Region 2	6	8
1649	sample3	Region 2	6	8
1664	sample3	Region 2	6	8
1665	sample3	Region 2	6	8
1672	sample3	Region 2	6	8
1679	sample3	Region 2	6	8
1680	sample3	Region 2	6	8
1681	sample3	Region 2	6	8
1686	sample3	Region 2	6	8
1689	sample3	Region 2	6	8
1694	sample3	Region 2	6	8
1696	sample3	Region 2	6	8
1697	sample3	Region 2	6	8
1699	sample3	Region 2	6	8
1704	sample3	Region 2	6	8
1707	sample3	Region 2	6	8
1713	sample3	Region 2	6	8
1716	sample3	Region 2	6	8
1720	sample3	Region 2	6	8
1721	sample3	Region 2	6	8
1722	sample3	Region 2	6	8
1723	sample3	Region 2	6	8
1738	sample3	Region 2	6	8
1740	sample3	Region 2	6	8
1741	sample3	Region 2	6	8
1742	sample3	Region 2	6	8
1745	sample3	Region 2	6	8
1750	sample3	Region 2	6	8
1752	sample3	Region 2	6	8
1754	sample3	Region 2	6	8
1757	sample3	Region 2	6	8
1759	sample3	Region 2	6	8
1760	sample3	Region 2	6	8
1765	sample3	Region 2	6	8
1768	sample3	Region 2	6	8
1772	sample3	Region 2	6	8
1773	sample3	Region 2	6	8
1775	sample3	Region 2	6	8
1779	sample3	Region 2	6	8
1781	sample3	Region 2	6	8
1786	sample3	Region 2	6	8
1788	sample3	Region 2	6	8
