# Generated: 2026-07-28T14:57:42.433427
# Sample: sample2
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 10105
	sample	region_annotation	leiden_0_6	leiden_0_8
cellid_000001713-1	sample2	Region 3	0	2
cellid_000001724-1	sample2	Region 3	2	1
cellid_000001731-1	sample2	Region 3	2	1
cellid_000001733-1	sample2	Region 3	0	2
cellid_000001736-1	sample2	Region 3	2	1
cellid_000001742-1	sample2	Region 3	2	1
cellid_000001743-1	sample2	Region 3	0	4
cellid_000001746-1	sample2	Region 3	0	2
cellid_000001750-1	sample2	Region 3	2	1
cellid_000001757-1	sample2	Region 3	2	1
cellid_000001758-1	sample2	Region 3	2	1
cellid_000001759-1	sample2	Region 3	0	2
cellid_000001761-1	sample2	Region 3	2	1
cellid_000001762-1	sample2	Region 3	0	2
cellid_000001767-1	sample2	Region 3	0	2
cellid_000001768-1	sample2	Region 3	0	2
cellid_000001770-1	sample2	Region 3	0	2
cellid_000001772-1	sample2	Region 3	2	1
cellid_000001773-1	sample2	Region 3	3	3
cellid_000001775-1	sample2	Region 3	5	6
cellid_000001780-1	sample2	Region 3	2	1
cellid_000001782-1	sample2	Region 3	3	3
cellid_000001784-1	sample2	Region 3	3	3
cellid_000001785-1	sample2	Region 3	2	1
cellid_000001787-1	sample2	Region 3	5	6
cellid_000001788-1	sample2	Region 3	2	3
cellid_000001790-1	sample2	Region 3	3	3
cellid_000001796-1	sample2	Region 3	0	2
cellid_000001797-1	sample2	Region 3	2	1
cellid_000001800-1	sample2	Region 3	2	1
cellid_000001809-1	sample2	Region 3	3	3
cellid_000001810-1	sample2	Region 3	2	1
cellid_000001811-1	sample2	Region 3	3	3
cellid_000001815-1	sample2	Region 3	0	2
cellid_000001817-1	sample2	Region 3	2	1
cellid_000001829-1	sample2	Region 3	0	2
cellid_000001841-1	sample2	Region 3	0	2
cellid_000001842-1	sample2	Region 3	3	3
cellid_000001845-1	sample2	Region 3	0	2
cellid_000001846-1	sample2	Region 3	2	1
cellid_000001847-1	sample2	Region 3	0	2
cellid_000001852-1	sample2	Region 3	2	1
cellid_000001853-1	sample2	Region 3	0	2
cellid_000001856-1	sample2	Region 3	6	8
cellid_000001868-1	sample2	Region 3	3	3
cellid_000001877-1	sample2	Region 3	0	2
cellid_000001879-1	sample2	Region 3	3	3
cellid_000001881-1	sample2	Region 3	5	6
cellid_000001882-1	sample2	Region 3	0	2
cellid_000001884-1	sample2	Region 3	2	1
cellid_000001885-1	sample2	Region 3	0	2
cellid_000001889-1	sample2	Region 3	0	2
cellid_000001891-1	sample2	Region 3	3	3
cellid_000001900-1	sample2	Region 3	2	1
cellid_000001903-1	sample2	Region 3	0	2
cellid_000001905-1	sample2	Region 3	6	8
cellid_000001907-1	sample2	Region 3	3	3
cellid_000001908-1	sample2	Region 3	0	2
cellid_000001909-1	sample2	Region 3	3	3
cellid_000001911-1	sample2	Region 3	0	2
cellid_000001913-1	sample2	Region 3	2	1
cellid_000001915-1	sample2	Region 3	3	3
cellid_000001916-1	sample2	Region 3	0	2
cellid_000001918-1	sample2	Region 3	2	1
cellid_000001919-1	sample2	Region 3	2	1
cellid_000001921-1	sample2	Region 3	2	1
cellid_000001923-1	sample2	Region 3	3	3
cellid_000001925-1	sample2	Region 3	0	2
cellid_000001928-1	sample2	Region 3	0	2
cellid_000001929-1	sample2	Region 3	3	3
cellid_000001935-1	sample2	Region 3	0	2
cellid_000001939-1	sample2	Region 3	0	2
cellid_000001943-1	sample2	Region 3	3	3
cellid_000001948-1	sample2	Region 3	8	16
cellid_000001949-1	sample2	Region 3	3	3
cellid_000001959-1	sample2	Region 3	6	8
cellid_000001962-1	sample2	Region 3	2	1
cellid_000001975-1	sample2	Region 3	3	3
cellid_000001983-1	sample2	Region 3	2	1
cellid_000001984-1	sample2	Region 3	0	2
cellid_000001985-1	sample2	Region 3	0	2
cellid_000001987-1	sample2	Region 3	3	3
cellid_000001988-1	sample2	Region 3	3	3
cellid_000001993-1	sample2	Region 3	2	1
cellid_000001995-1	sample2	Region 3	0	2
cellid_000001997-1	sample2	Region 3	0	2
cellid_000001998-1	sample2	Region 3	0	2
cellid_000002002-1	sample2	Region 3	2	1
cellid_000002006-1	sample2	Region 3	3	3
cellid_000002008-1	sample2	Region 3	2	1
cellid_000002014-1	sample2	Region 3	3	3
cellid_000002015-1	sample2	Region 3	2	1
cellid_000002017-1	sample2	Region 3	3	3
cellid_000002019-1	sample2	Region 3	2	1
cellid_000002024-1	sample2	Region 3	3	3
cellid_000002026-1	sample2	Region 3	0	2
cellid_000002027-1	sample2	Region 3	0	2
cellid_000002028-1	sample2	Region 3	0	2
cellid_000002030-1	sample2	Region 3	2	1
cellid_000002032-1	sample2	Region 3	0	2
cellid_000002040-1	sample2	Region 3	0	2
cellid_000002044-1	sample2	Region 3	0	2
cellid_000002045-1	sample2	Region 3	0	2
cellid_000002049-1	sample2	Region 3	3	3
cellid_000002052-1	sample2	Region 3	0	2
cellid_000002054-1	sample2	Region 3	3	3
cellid_000002056-1	sample2	Region 3	0	2
cellid_000002059-1	sample2	Region 3	6	8
cellid_000002061-1	sample2	Region 3	0	2
cellid_000002064-1	sample2	Region 3	0	2
cellid_000002065-1	sample2	Region 3	3	3
cellid_000002066-1	sample2	Region 3	3	3
cellid_000002067-1	sample2	Region 3	3	3
cellid_000002069-1	sample2	Region 3	0	2
cellid_000002071-1	sample2	Region 3	2	1
cellid_000002077-1	sample2	Region 3	0	2
cellid_000002080-1	sample2	Region 3	0	2
cellid_000002085-1	sample2	Region 3	0	2
cellid_000002086-1	sample2	Region 3	2	1
cellid_000002088-1	sample2	Region 3	2	1
cellid_000002091-1	sample2	Region 3	0	2
cellid_000002092-1	sample2	Region 3	0	2
cellid_000002095-1	sample2	Region 3	0	2
cellid_000002098-1	sample2	Region 3	2	1
cellid_000002106-1	sample2	Region 3	0	2
cellid_000002109-1	sample2	Region 3	3	3
cellid_000002116-1	sample2	Region 3	3	3
cellid_000002117-1	sample2	Region 3	2	1
cellid_000002118-1	sample2	Region 3	0	2
cellid_000002122-1	sample2	Region 3	0	2
cellid_000002127-1	sample2	Region 3	0	2
cellid_000002129-1	sample2	Region 3	0	2
cellid_000002130-1	sample2	Region 3	3	3
cellid_000002134-1	sample2	Region 3	6	8
cellid_000002136-1	sample2	Region 3	2	1
cellid_000002142-1	sample2	Region 3	6	8
cellid_000002144-1	sample2	Region 3	5	6
cellid_000002153-1	sample2	Region 3	2	1
cellid_000002165-1	sample2	Region 3	3	3
cellid_000002172-1	sample2	Region 3	2	1
